sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,6,5,1,0,12,5,9,2,5,0,2,0,0,0,0
N,3,7,6,1,17,14,7,2,6,3,2,0,0,0,0
M,5,8,3,0,16,11,7,6,5,5,4,0,0,0,0
A,2,9,6,0,17,0,13,8,4,3,2,5,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Y,0.5,0.416666667,0.083333333,0,12,5,9,2,5,0,2,0,0,0,0
M,0.3125,0.5,0.1875,0,16,11,7,6,5,5,4,0,0,0,0
N,0.176470588,0.411764706,0.352941176,0.058823529,17,14,7,2,6,3,2,0,0,0,0
A,0.117647059,0.529411765,0.352941176,0,17,0,13,8,4,3,2,5,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Y_NORM,0.5,0.416666667,0.083333333,0,,0,0,0,0,0,0,0,0,0,0
M_NORM,0.3125,0.5,0.1875,0,,0,0,0,0,0,0,0,0,0,0
N_NORM,0.176470588,0.411764706,0.352941176,0.058823529,,0,0,0,0,0,0,0,0,0,0
A_NORM,0.117647059,0.529411765,0.352941176,0,,0,0,0,0,0,0,0,0,0,0
