sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,8,5,4,1,18,12,6,9,4,1,4,1,2,3,0
N,7,5,4,1,17,13,7,3,4,2,1,1,4,0,0
M,7,7,5,0,19,8,9,4,3,4,4,4,6,1,0
A,3,5,9,0,17,1,8,9,7,5,2,3,3,4,4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Y_NORM,0.444444444,0.277777778,0.222222222,0.055555556,1,0,0,0,0,0,0,0,0,0,0
M_NORM,0.368421053,0.368421053,0.263157895,0,1,0,0,0,0,0,0,0,0,0,0
N_NORM,0.411764706,0.294117647,0.235294118,0.058823529,1,0,0,0,0,0,0,0,0,0,0
A_NORM,0.176470588,0.294117647,0.529411765,0,1,0,0,0,0,0,0,0,0,0,0
