sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,37,54,26,30,18,15,9,0,0,0
M,5,8,3,0,16,3,11,7,6,5,5,4,0,0,0,0
M_NORM,0.3125,0.5,0.1875,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,4,9,2,0,15,0,2,8,4,5,3,4,2,0,0,0
AM_NORM,0.26666666666666666,0.6,0.13333333333333333,0.0,,,0,0,0,0,0,0,0,0,0,0
N,3,7,6,0,16,5,14,6,2,6,3,2,0,0,0,0
N_NORM,0.1875,0.4375,0.375,0.0,,,0,0,0,0,0,0,0,0,0,0
SM,2,2,1,0,5,2,3,3,2,0,1,0,1,0,0,0
SM_NORM,0.4,0.4,0.2,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,2,2,4,0,8,2,2,8,2,5,3,1,1,0,0,0
SN_NORM,0.25,0.25,0.5,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,6,5,1,0,12,2,5,9,2,5,0,2,0,0,0,0
Y_NORM,0.5,0.4166666666666667,0.08333333333333333,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,2,9,6,0,17,0,0,13,8,4,3,2,5,0,0,0
AN_NORM,0.11764705882352941,0.5294117647058824,0.35294117647058826,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,89,89,89,89,89,89,45,0,0,0
link_visibility_no_ads,,,,,,,44,44,44,44,44,44,0,0,0,0
link_visibility_A,,,,,,,32,32,32,32,32,32,32,0,0,0
link_visibility_AM,,,,,,,15,15,15,15,15,15,15,0,0,0
link_visibility_AN,,,,,,,17,17,17,17,17,17,17,0,0,0
link_visibility_S,,,,,,,13,13,13,13,13,13,13,0,0,0
link_visibility_SM,,,,,,,5,5,5,5,5,5,5,0,0,0
link_visibility_SN,,,,,,,8,8,8,8,8,8,8,0,0,0
